渤	boks
镈	bozk
僰	boej
菠	bolr
擘	bocu
浡	bokh
舶	boiu
嶓	bovq
膊	bovk
哱	bodh
砵	bomf
卜	boyb
踣	bopd
簸	borr
鹁	bonx
檗	boce
鲌	bowu
蕃	bolq
艴	botm
趵	bopi
馞	boxh
袯	boti
饽	boqh
礴	bomk
欂	boek
𬭛	bozr
不	bucb
部	buit
补	buty
步	buss
布	bunr
簿	burk
钚	buzc
捕	buun
卜	buyb
怖	buhr
卟	budy
晡	buon
埠	bugn
逋	bunu
堡	bujg
哺	budn
蔀	bult
瓿	buir
醭	buyi
埔	bugn
埗	bugs
𬷕	bunx
擦	cauf
嚓	cadf
才	cdnt
菜	cdle
踩	cdpe
猜	cdmv
蔡	cdlf
财	cdot
采	cdye
材	cdet
裁	cdnt
彩	cdye
睬	cdqe
偲	cdjh
惨	cjhe
餐	cjgq
残	cjgp
参	cjke
蚕	cjfc
粲	cjgp
灿	cjcv
骖	cjne
惭	cjht
璨	cjnp
黪	cjpe
䅟	cjxe
藏	chlq
仓	chjz
舱	chiz
苍	chlz
沧	chkz
鸧	chjx
伧	chjz
草	ccln
槽	cceo
曹	ccfo
操	ccue
艹	cclc
糙	ccpu
屮	ccsc
嘈	ccdo
漕	ccko
芔	ccsl
肏	ccjj
艚	ccio
螬	ccco
𥕢	ccmo
侧	cejp
测	cekp
册	ceic
策	cerm
厕	cexp
恻	cehp
𤭢	cwzr
岑	cfva
涔	cfka
参	cfke
曾	cgho
层	cgcb
蹭	cgpo
噌	cgdo
嶒	cgvo
差	iagu
茶	iale
查	iaef
插	iaup
叉	iari
侘	iajr
茬	ialg
镲	iazf
察	iawf
猹	iamf
搽	iaue
槎	iaeu
岔	iahv
檫	iaef
杈	iaei
嚓	iadf
碴	iamf
姹	iabr
汊	iaki
衩	iati
锸	iazp
垞	iagr
诧	iasr
馇	iaqf
刹	iabp
喳	iadf
蹅	iapf
嵖	iavf
𥻗	iapf
拆	idui
柴	idse
差	idgu
钗	idzi
豺	idmt
虿	idfc
侪	idjq
瘥	idau
茝	idlq
产	ijix
铲	ijzx
馋	ijqw
缠	ijid
禅	ijfn
蝉	ijcn
掺	ijue
颤	ijzw
搀	ijuw
谗	ijsw
浐	ijkx
婵	ijbn
蟾	ijcs
澶	ijkf
觇	ijye
阐	ijan
躔	ijpg
襜	ijts
谄	ijsp
镡	ijzn
刬	ijfp
辿	ijvu
忏	ijhl
巉	ijvw
韂	ijts
羼	ijcg
廛	ijxg
潺	ijkh
梴	ijeu
孱	ijch
蒇	ijlo
啴	ijdn
单	ijhn
骣	ijnh
镵	ijzw
瀍	ijkg
旵	ijov
冁	ijht
儳	ijjw
𬊤	ijcn
唱	ihdo
场	ihge
长	ihpc
常	ihsr
厂	ihxc
尝	ihsb
肠	ihve
畅	ihoe
昌	ihoo
偿	ihjb
敞	ihsh
娼	ihbo
鬯	ihpv
怅	ihhp
倡	ihjo
昶	ihio
猖	ihmo
嫦	ihbr
氅	ihsv
伥	ihjp
苌	ihlp
鲳	ihwo
菖	ihlo
徜	ihws
裳	ihst
阊	ihao
鲿	ihwb
惝	ihhs
𬬮	ihzp
超	icpd
抄	icut
炒	icct
朝	icnv
潮	ickv
吵	icdt
钞	iczt
巢	icoe
嘲	icdv
焯	iccn
晁	icow
怊	ichd
绰	icin
弨	icbd
耖	icat
车	ieyc
扯	ieus
撤	ieuh
彻	iewp
掣	iequ
澈	iekh
坼	iegi
尺	ieci
